Skoob,Name,Score /5,Editora,Autor,Genero Autor,Nacionalidade,Lingua,Terminado em:,Status,Tenho,Tentativas de leitura,Ku,Prime,HQ,Meta 2023,Serie,Ano Compra,Formato,Genêro,Nacional,Traduzido,Doar,Número de paginas total,Minoria,Cliche
Yes,Desventuras quase românticas de um festival,,Gutenberg,Babi Dewet,Mulher,Brasil,Portugues,,Não começado,Yes,,No,No,No,No,No,2022,Fisico,Romance,Nacional,Traduzido,No,,,
No,Nem todos os beijos têm gosto de inverno,,Independente,Yasmim Mahmud Kader,Mulher,Brasil,Portugues,,Lendo,Yes,,No,No,No,No,No,2023,Ebook,Romance,Nacional,Na,No,,Lgbt - Safico,
Yes,Cool for the summer,,GloboAlt,Dahlia Adler,Mulher,Usa,Portugues,,"Doado, Não começado",No,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Um homem chamado Ove,,Rocco,Fredrik Backman,Homem,Suécia,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Ficção humorística,Internacional,Traduzido,No,,,
Yes,Jogos de Herença,,GloboAlt,Jennifer Lynn Barnes,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Cartas para Martin,,intrínseca,Nic Stone,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Gay de Familia,,Paralela,Flipe Fagundes,Homem,Brasil,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Romance,Nacional,,No,,,
Yes,Delilah Green não está nem ai,⭐️⭐️⭐️⭐️⭐️,Arqueiro,Ashley Herring Blake,Mulher,Usa,Portugues,2023/06/19,Lido,Yes,1,No,No,No,No,No,2023,Fisico,Romance,Internacional,Traduzido,No,,Lgbt - Safico,
Yes,O Iluminado,,Suma,Stephen King,Homem,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Suspense,Internacional,Traduzido,No,,,
Yes,Os dois morrem no final,,intrínseca,Adam Silvera,Homem,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
No,O sonho de Eva,,Novas paginas,Chico Anes,Homem,Brasil,Portugues,,Doado,No,,No,No,No,No,No,?,Fisico,Distopia,Nacional,Traduzido,No,,,
Yes,Os 12 signos de Valentina,,Galera,Ray Tavares,Mulher,Brasil,Portugues,,Em pausa,Yes,,No,No,No,No,No,2020,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Someone Like You,,Turtleback Books,Sarah Dessen,Mulher,Usa,Ingles,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,Não Traduzido,No,,,
Yes,The Truth About Forever,,‎ Perfection Learning,Sarah Dessen,Mulher,Usa,Ingles,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,Não Traduzido,No,,,
Yes,O Que Aconteceu com Adeus,,Id,Sarah Dessen,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Só escute,⭐️⭐️⭐️⭐️⭐️,Seguinte,Sarah Dessen,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2017,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Uma Canção de Ninar,⭐️⭐️⭐️⭐️⭐️,Seguinte,Sarah Dessen,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2016,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Os bons segredos,⭐️⭐️⭐️⭐️⭐️,Seguinte,Sarah Dessen,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2019,Fisico,Romance,Internacional,Traduzido,No,,,
No,Lock And Key,,Speak,Sarah Dessen,Mulher,Usa,Ingles,,Não começado,No,,No,No,No,No,No,,Fisico,Romance,Internacional,Não Traduzido,No,,,
No,Once and for all,,,Sarah Dessen,Mulher,Usa,Ingles,,,No,,No,No,No,No,No,,,Romance,Internacional,Não Traduzido,No,,,
No,Infinity,,,Sarah Dessen,Mulher,Usa,Ingles,,,No,,No,No,No,No,No,,,Romance,Internacional,Não Traduzido,No,,,
No,The Moon And More,,Speak,Sarah Dessen,Mulher,Usa,Ingles,,Não começado,No,,No,No,No,No,No,,Fisico,Romance,Internacional,Não Traduzido,No,,,
No,Keepping The Moon,,Speak,Sarah Dessen,Mulher,Usa,Ingles,,Não começado,Yes,,No,No,No,No,No,,Fisico,Romance,Internacional,Não Traduzido,No,,,
Yes,I think I love you,⭐️⭐️⭐️,Underline,Auriene Desombre,Mulher,Usa,Ingles,2023/07/27,Lido,Yes,1,No,No,No,No,No,2023,Fisico,Romance,Internacional,Não Traduzido,No,309,Lgbt - Safico,
Yes,O homem que foi para Marte porque queria ficar sozinho,⭐️⭐️⭐️⭐️⭐️,Record,David M. Barnett,Homem,Inglaterra,Portugues,2023/08/28,Lido,Yes,1,No,No,No,No,No,2023,Fisico,Ficção Científica,Internacional,Traduzido,No,346,,
Yes,O pior padrinho da Noiva,⭐️⭐️⭐️,Harlequin,Mia Sosa,Mulher,Usa,Portugues,2023/09/08,Lido,Yes,,No,No,No,No,No,2023,Fisico,Romance,Internacional,Traduzido,No,,,
